Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_33_639.jpg,0,0,1,0,99.67001,85.58897,0.0002371284,21.4848,-1.968098E-06
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_33_655.jpg,0,0,0,0,99.67001,85.58897,0.0002365353,21.4848,-1.855579E-06
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_33_729.jpg,0,0,0,0,99.67001,85.58897,0.0002359421,21.4848,-1.743041E-06
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_33_777.jpg,0,0,0,0,99.67001,85.58897,0.0002356456,21.4848,-1.686775E-06
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_33_822.jpg,0,0,0,0,99.67001,85.58897,0.0002350806,21.4848,-1.425963E-06
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_33_869.jpg,0,0,0,0,99.67001,85.58897,0.0002346639,21.4848,-1.193291E-06
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_33_916.jpg,0,0,0,0,99.67001,85.58897,0.0002342472,21.4848,-9.60606E-07
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_33_961.jpg,0,0,0,0,99.67,85.58897,0.0002337422,21.4848,-7.880039E-07
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_007.jpg,0,0,0,0,99.67,85.58897,0.0002334457,21.4848,-7.317315E-07
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_052.jpg,0,0,0,0,99.67,85.58897,0.0002331491,21.4848,-6.754719E-07
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_103.jpg,0,0,0,0,99.67,85.58897,0.0002327043,21.4848,-5.91073E-07
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_151.jpg,0,0,0,0,99.67,85.58897,0.0002325841,21.4848,-4.146604E-07
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_193.jpg,0,0,0,0,99.67,85.58897,0.0002324639,21.4848,-2.382413E-07
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_240.jpg,0,0,0,0,99.67,85.58897,0.0002322837,21.4848,2.638079E-08
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_286.jpg,0,0,0,0,99.67,85.58897,0.0002321636,21.4848,2.027934E-07
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_333.jpg,0,0,0,0,99.67,85.58897,0.0002321035,21.4848,2.909964E-07
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_379.jpg,0,0,0,0,99.67,85.58897,0.0002321035,21.4848,2.909964E-07
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_425.jpg,-2.785441,0,0,0,99.67,85.58897,0.0002301092,21.15051,1.672685E-06
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_472.jpg,-5.561774,0,0,0,99.67,85.58897,0.0002297395,20.48306,3.93494E-06
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_520.jpg,-8.368948,0,0,0,99.67,85.58897,0.0002285984,18.97664,9.60029E-06
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_568.jpg,-11.2329,0,0,0,99.67,85.58897,0.0002285466,17.62871,1.419597E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_613.jpg,-14.09047,0,0,0,99.67,85.58897,0.0002276489,15.93789,2.014085E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_661.jpg,-11.36304,0,0,0,99.67,85.58897,0.0002272011,13.89255,2.456657E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_708.jpg,-8.524076,0,0,0,99.67,85.58897,0.0002264558,12.86964,2.64545E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_758.jpg,-5.697017,0,0,0,99.67,85.58897,0.0002274716,12.18599,2.614983E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_804.jpg,-2.666184,0,0,0,99.67001,85.58897,0.000228769,11.70601,2.343286E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_849.jpg,0,0,0,0,99.67001,85.58897,0.0002307595,11.70601,2.064961E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_896.jpg,0,0,0,0,99.67001,85.58897,0.0002328173,11.70601,1.77836E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_942.jpg,0,0,0,0,99.67001,85.58897,0.0002353526,11.70601,1.365491E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_34_988.jpg,0,0,0,0,99.67001,85.58897,0.0002367425,11.70601,1.093323E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_034.jpg,0,0,0,0,99.67001,85.58897,0.0002381324,11.70601,8.211538E-06
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_081.jpg,0,0,0,0,99.67001,85.58897,0.0002397976,11.70601,4.475459E-06
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_126.jpg,0,0,0,0,99.67001,85.58897,0.0002410836,11.70601,2.219595E-06
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_177.jpg,0,0,0,0,99.67001,85.58897,0.0002421366,11.70601,-8.824863E-08
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_224.jpg,0,0,0,0,99.67001,85.58897,0.0002435323,11.70601,-3.493273E-06
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_266.jpg,0,0,0,0,99.67001,85.58897,0.0002445487,11.70601,-5.41808E-06
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_35_313.jpg,0,0,0,0,99.67001,85.58897,0.0002454824,11.70601,-7.410266E-06
